location_address1,location_address2,location_city,location_convocationLabel,location_fullAddress,location_giveBlood,location_givePlasma,location_givePlatelet,location_groupCode,location_id,location_latitude,location_longitude,location_name,location_phone,location_postCode,location_regionCode,location_regionName,location_samplingLocationCode,location_horaires,location_infos,location_metro,location_bus,location_tram,location_parking,location_debutInfos,location_finInfos,collection_date,collection_groupCode,collection_id,collection_isPublic,collection_isPublishable,collection_lpCode,collection_morningEndTime,collection_morningStartTime,collection_afternoonEndTime,collection_afternoonStartTime,collection_regionCode,collection_nature
,"2, AVENUE ST EXUPERY",92320 CHATILLON,ESPACE MAISON BLANCHE,"2, AVENUE ST EXUPERY 92320 CHATILLON",True,False,False,I02634,5035397,48.809513092041016,2.29903507232666,ESPACE MAISON BLANCHE,,,019,EFS Ile de France,4,,,,,,,,,2023-07-21,I02634,804250,True,,4,,,18:30:00,14:00:00,019,
,25 RUE DU PRE ST GERVAIS,93500 PANTIN,SALLE ANDRE BRETON ,25 RUE DU PRE ST GERVAIS 93500 PANTIN,True,False,False,I01573,5022602,48.890254974365234,2.403306245803833,SALLE ANDRE BRETON,,,019,EFS Ile de France,1534,,,,,,,,,2023-06-23,I01573,810082,True,,1534,,,19:30:00,15:00:00,019,
,15 RUE JULES GUESDE,92130 ISSY LES MOULINEAUX,GYMNASE JULES GUESDE,15 RUE JULES GUESDE 92130 ISSY LES MOULINEAUX,True,False,False,I03521,5034760,48.8215217590332,2.277397632598877,GYMNASE JULES GUESDE,,,019,EFS Ile de France,10,,,,,,,,,2023-06-12,I03521,800956,True,,10,,,18:30:00,13:30:00,019,
,15 RUE JULES GUESDE,92130 ISSY LES MOULINEAUX,GYMNASE JULES GUESDE,15 RUE JULES GUESDE 92130 ISSY LES MOULINEAUX,True,False,False,I03521,5034760,48.8215217590332,2.277397632598877,GYMNASE JULES GUESDE,,,019,EFS Ile de France,10,,,,,,,,,2023-06-13,I03521,800958,True,,10,,,18:30:00,13:30:00,019,
,15 RUE JULES GUESDE,92130 ISSY LES MOULINEAUX,GYMNASE JULES GUESDE,15 RUE JULES GUESDE 92130 ISSY LES MOULINEAUX,True,False,False,I03521,5034760,48.8215217590332,2.277397632598877,GYMNASE JULES GUESDE,,,019,EFS Ile de France,10,,,,,,,,,2023-08-07,I03521,800959,True,,10,,,18:30:00,13:30:00,019,
,15 RUE JULES GUESDE,92130 ISSY LES MOULINEAUX,GYMNASE JULES GUESDE,15 RUE JULES GUESDE 92130 ISSY LES MOULINEAUX,True,False,False,I03521,5034760,48.8215217590332,2.277397632598877,GYMNASE JULES GUESDE,,,019,EFS Ile de France,10,,,,,,,,,2023-08-08,I03521,800960,True,,10,,,18:30:00,13:30:00,019,
,2 RUE GALLIENI,94230 CACHAN,SALLE LA GRANGE GALLIENI,2 RUE GALLIENI 94230 CACHAN,True,False,False,I02130,5010633,48.795005798339844,2.334674835205078,SALLE LA GRANGE GALLIENI,,,019,EFS Ile de France,2,,,,,,,,,2023-08-03,I02130,802913,True,,2,,,19:00:00,14:30:00,019,
,15 RUE CHARLES MICHELS,92220 BAGNEUX,SALLE LEO FERRE,15 RUE CHARLES MICHELS 92220 BAGNEUX,True,False,False,I02625,5020096,48.79721450805664,2.3200762271881104,SALLE LEO FERRE,,,019,EFS Ile de France,2518,,,,,,,,,2023-05-15,I02625,803010,True,,2518,,,19:30:00,14:30:00,019,
SALLES VISION & PERSPECTIV - RDC,41 RUE MARTRE,92110 CLICHY,L'OREAL SIEGE,SALLES VISION & PERSPECTIV - RDC 41 RUE MARTRE 92110 CLICHY,True,False,False,I03912,5036024,48.9002571105957,2.308194637298584,Salles RDC VISION & PERSPECTIV,,,019,EFS Ile de France,3,,,,,,,,,2023-07-03,I03912,811645,False,,3,13:30:00,09:00:00,,,019,
,1 ESPLANADE PIERRE YVES COSNIER,94800 VILLEJUIF,SALLE DU CONSEIL MUNICIPAL,1 ESPLANADE PIERRE YVES COSNIER 94800 VILLEJUIF,True,False,False,I02170,5025114,48.792476654052734,2.3628158569335938,SALLE DU CONSEIL MUNICIPAL,,,019,EFS Ile de France,3,,,,,,,,,2023-05-19,I02170,807121,True,,3,,,19:30:00,14:30:00,019,
